Employee Code,AttendanceDate,InTime, OutTime
13,5/14/2017,00:00,00:00
14,5/14/2017,18:13,18:13
15,5/14/2017,00:00,00:00
18,5/14/2017,00:00,00:00
21,5/14/2017,08:57,17:46
22,5/14/2017,00:00,00:00
24,5/14/2017,00:00,00:00
26,5/14/2017,09:23,17:36
29,5/14/2017,19:04,03:29
30,5/14/2017,00:00,00:00
31,5/14/2017,00:00,00:00
32,5/14/2017,00:00,00:00
36,5/14/2017,21:37,22:13
37,5/14/2017,00:00,00:00
38,5/14/2017,00:00,00:00
39,5/14/2017,09:23,09:23
40,5/14/2017,03:34,03:34
42,5/14/2017,00:00,00:00
43,5/14/2017,09:33,18:13
44,5/14/2017,00:00,00:00
45,5/14/2017,09:05,17:37
46,5/14/2017,00:00,00:00
47,5/14/2017,00:00,00:00
48,5/14/2017,00:00,00:00
49,5/14/2017,00:00,00:00
50,5/14/2017,00:00,00:00
51,5/14/2017,09:43,17:36
52,5/14/2017,00:00,00:00
T1,5/14/2017,00:00,00:00
T2,5/14/2017,00:00,00:00
T3,5/14/2017,00:00,00:00
1,5/13/2017,10:40,17:04
2,5/13/2017,17:33,17:33
3,5/13/2017,00:00,00:00
4,5/13/2017,13:12,03:37
5,5/13/2017,00:00,00:00
6,5/13/2017,09:37,17:33
8,5/13/2017,00:00,00:00
13,5/13/2017,00:00,00:00
14,5/13/2017,13:03,22:13
15,5/13/2017,00:00,00:00
18,5/13/2017,00:00,00:00
21,5/13/2017,00:00,00:00
22,5/13/2017,00:00,00:00
24,5/13/2017,00:00,00:00
26,5/13/2017,00:00,00:00
29,5/13/2017,22:46,03:35
30,5/13/2017,00:00,00:00
31,5/13/2017,00:00,00:00
32,5/13/2017,00:00,00:00
36,5/13/2017,00:00,00:00
37,5/13/2017,00:00,00:00
38,5/13/2017,00:00,00:00
39,5/13/2017,09:22,09:22
40,5/13/2017,03:27,18:50
42,5/13/2017,00:00,00:00
43,5/13/2017,09:25,19:28
44,5/13/2017,10:34,10:34
45,5/13/2017,00:00,00:00
46,5/13/2017,10:14,10:14
47,5/13/2017,00:00,00:00
48,5/13/2017,10:32,18:13
49,5/13/2017,09:27,17:55
50,5/13/2017,00:00,00:00
51,5/13/2017,09:03,09:03
52,5/13/2017,10:45,19:34
T1,5/13/2017,00:00,00:00
T2,5/13/2017,00:00,00:00
T3,5/13/2017,00:00,00:00
1,5/12/2017,09:45,18:20
2,5/12/2017,09:47,18:01
3,5/12/2017,00:00,00:00
4,5/12/2017,00:00,00:00
5,5/12/2017,09:30,17:53
6,5/12/2017,09:44,17:57
8,5/12/2017,09:29,17:40
13,5/12/2017,00:00,00:00
14,5/12/2017,13:00,13:00
15,5/12/2017,10:03,10:03
18,5/12/2017,00:00,00:00
21,5/12/2017,09:29,09:29
22,5/12/2017,09:56,19:14
24,5/12/2017,00:00,00:00
26,5/12/2017,09:26,18:25
29,5/12/2017,00:00,00:00
30,5/12/2017,00:00,00:00
31,5/12/2017,00:00,00:00
32,5/12/2017,00:00,00:00
36,5/12/2017,11:32,11:32
37,5/12/2017,09:26,18:25
38,5/12/2017,00:00,00:00
39,5/12/2017,09:26,09:26
40,5/12/2017,03:32,18:49
42,5/12/2017,00:00,00:00
43,5/12/2017,09:14,18:37
44,5/12/2017,10:28,10:28
45,5/12/2017,09:13,18:14
46,5/12/2017,10:01,19:16
47,5/12/2017,09:32,18:14
48,5/12/2017,09:12,17:56
49,5/12/2017,09:26,09:26
50,5/12/2017,19:21,19:21
51,5/12/2017,09:36,18:01
52,5/12/2017,11:01,19:27
T1,5/12/2017,00:00,00:00
T2,5/12/2017,00:00,00:00
T3,5/12/2017,00:00,00:00
1,5/11/2017,09:18,18:20
2,5/11/2017,09:50,09:50
3,5/11/2017,00:00,00:00
4,5/11/2017,11:43,03:05
5,5/11/2017,09:34,18:55
6,5/11/2017,09:36,09:36
8,5/11/2017,09:34,18:56
13,5/11/2017,00:00,00:00
14,5/11/2017,12:58,12:58
15,5/11/2017,10:01,19:18
18,5/11/2017,09:39,09:39
21,5/11/2017,00:00,00:00
22,5/11/2017,09:42,19:18
24,5/11/2017,00:00,00:00
26,5/11/2017,09:23,18:16
29,5/11/2017,19:22,04:36
30,5/11/2017,00:00,00:00
31,5/11/2017,00:00,00:00
32,5/11/2017,00:00,00:00
36,5/11/2017,11:43,22:11
37,5/11/2017,18:16,18:16
38,5/11/2017,00:00,00:00
39,5/11/2017,09:23,18:22
40,5/11/2017,04:03,18:54
42,5/11/2017,00:00,00:00
43,5/11/2017,08:32,08:32
44,5/11/2017,10:26,18:21
45,5/11/2017,09:18,18:32
46,5/11/2017,00:00,00:00
47,5/11/2017,09:39,19:28
48,5/11/2017,09:07,18:04
49,5/11/2017,09:27,09:27
50,5/11/2017,00:00,00:00
51,5/11/2017,09:28,18:16
52,5/11/2017,11:01,19:29
T1,5/11/2017,00:00,00:00
T2,5/11/2017,00:00,00:00
T3,5/11/2017,00:00,00:00
1,5/10/2017,10:29,10:29
2,5/10/2017,00:00,00:00
3,5/10/2017,11:15,11:15
4,5/10/2017,00:00,00:00
5,5/10/2017,09:26,19:25
6,5/10/2017,00:00,00:00
8,5/10/2017,09:26,18:11
13,5/10/2017,00:00,00:00
14,5/10/2017,00:00,00:00
15,5/10/2017,00:00,00:00
18,5/10/2017,00:00,00:00
21,5/10/2017,09:21,19:25
22,5/10/2017,00:00,00:00
